roll_gyro, roll_acc, roll_filtered
-0.603123,10.706628,9.158797
-0.472103,11.063367,10.581274
-0.550064,10.192729,10.638822
-0.548930,10.377328,10.427202
-0.481235,9.857082,10.599145
-0.579191,10.529919,10.525702
-0.574859,10.108629,10.565440
-0.544025,10.689919,10.550822
-0.597538,10.305150,10.505302
-0.537323,10.462757,10.635943
-0.568123,10.885848,10.598369
-0.574908,10.181114,10.589597
-0.393824,6.790222,9.072270
-3.524729,7.938499,7.290865
-7.036123,6.772360,7.650104
-6.734110,7.349837,7.184967
-6.750646,9.122581,7.034459
-7.919717,6.068921,5.325111
-9.642639,5.401629,5.403392
-9.903470,4.663612,5.062462
-10.415648,5.089292,5.169716
-10.251410,6.095652,6.395235
-9.840585,4.964473,5.892393
-8.979176,26.258407,7.005945
-8.808598,9.528486,6.394902
-14.887922,-3.455275,1.676444
-20.549219,1.998949,-2.314152
-33.886425,-9.238088,-11.603361
-51.062885,-20.716638,-22.564646
-67.692657,-30.604124,-32.675882
-85.710617,-40.266999,-43.765895
-95.077324,-44.940566,-47.109153
-103.888565,-53.685337,-53.568489
-114.493576,-58.091005,-58.921219
-122.541641,-64.279087,-63.157980
-130.064224,-65.792957,-68.992024
-133.457382,-74.271907,-68.864775
-132.353195,-67.439992,-68.029758
-133.097916,-68.411420,-68.490295
-129.192566,-65.295604,-64.205801
-110.158310,-52.130096,-50.279538
-79.431549,-33.902367,-29.279804
-46.992031,-16.736489,-10.615301
-20.833981,2.674038,4.793105
10.671885,19.137264,24.462445
23.710186,24.845931,28.584219
37.801662,35.334640,37.418450
45.054379,37.385147,39.642078
54.425053,45.648555,46.419335
57.683792,46.001284,46.244540
62.932106,58.707153,50.279876
68.192146,53.056803,53.197305
69.427803,52.711915,53.607421
68.041313,49.333330,51.481300
56.445518,45.874096,42.843756
31.139624,40.318474,25.947164
33.902992,-1.498720,23.297212
30.575577,-18.976344,-16.628777
4.769735,-37.104411,-39.707497
-26.544058,-48.716726,-60.642817
-50.421223,-71.296589,-72.180640
-56.795315,-71.166100,-73.464878
-64.103088,-75.339268,-78.096167
-67.211723,-78.558789,-78.304790
-67.545120,-78.230525,-78.317971
-65.516312,-76.846811,-76.644640
-56.233776,-71.526915,-68.841088
-30.505550,-54.130752,-49.529556
6.919799,-33.498444,-27.122600
34.751904,-14.887753,-11.174191
72.221382,5.297204,14.166603
113.329971,45.031951,42.582063
131.354691,50.978643,52.738045
134.415909,53.905453,53.389786
139.942047,56.140215,57.716847
145.110275,55.809611,59.023912
145.054871,55.405313,56.733481
147.436783,58.981085,59.080953
148.469421,58.900052,58.835196
147.526260,57.112282,56.512205
141.555130,56.090234,53.987351
128.528381,46.864243,42.915034
108.457260,35.072584,30.907490
127.657875,6.226757,30.249612
105.706383,-13.677543,-11.614754
98.329094,-42.067493,-39.363177
76.552338,-52.696049,-54.847557
46.204472,-74.022027,-76.845666
22.742037,-85.766135,-88.406933
18.759869,-80.340723,-85.943600
32.462181,-76.766529,-74.501443
53.239880,-63.279518,-59.482814
86.897820,-46.160543,-38.648586
120.686249,-23.219115,-17.595367
161.638168,9.761168,14.183911
190.533890,28.910036,32.098093
211.867325,40.428493,44.605304
225.313461,51.132222,51.177963
236.613602,55.623155,57.200787
243.221207,59.491517,60.125178
246.652100,61.574144,61.744401
251.649643,62.667229,64.770346
246.880768,61.934406,62.019275
240.248566,56.300694,55.321625
217.741608,41.222738,39.365744
187.027618,24.117553,17.776430
150.492172,-3.506579,-7.953198
